Total Patients,Patients Referred,Practice Name
"1,666",10,Longton Hall
"4,214",21,Dr Mackinnon and Partners
"12,801",61,Stone Family Practice
"1,429",5,Willow Bank
"3,683",12,Plymouth Grove
"9,430",40,Dr Hurst 
"12,380",38,Dr Lal
"4,651",13,38 Lansdown Road Practice
"2,577",7,Brinsley Avenue
"11,540",31,Rhyader Practice
"8,775",23,Dr S Jones
"5,850",15,Gourock Practice 
"8,847",22,The Wellbridge Practice
"9,006",21,Ashurst Primary Care
"3,072",7,Dr Bisarya and Partner
"6,151",14,Beacon Primary Care - Hillside
"7,314",15,Dr K Lain
"2,968",6,The Practice Drayton Road
"5,033",10,Harris Surgery
"5,709",10,Dr Patel 
"6,002",3,Dr R Mackerron and Partners
"2,676",4,Dr G Thomas
"2,785",4,Dr Yadava and Partner
