Place,Open number of patients,Open patients who died ,Open Mortality (%),EVAR number of patients,EVAR number of patients died ,EVAR Mortality rate (%),Overall number of patients,Overall  number of patients died ,Overall Mortality (%)
Western Health and Social Care Trust ,14,3,21.4,0,0,0,14,3,21.4
Sherwood Forest Hospitals NHS Foundation Trust ,15,3,20,0,0,0,15,3,20
United Lincolnshire Hospitals NHS Trust ,39,5,12.8,0,0,0,39,5,12.8
"Wrightington, Wigan and Leigh NHS Foundation Trust ",16,2,12.5,16,1,6.3,32,3,9.4
Southport and Ormskirk Hospital NHS Trust ,22,2,9.1,0,0,0,22,2,9.1
Peterborough and Stamford Hospitals NHS Foundation Trust ,12,1,8.3,0,0,0,12,1,8.3
East and North Hertfordshire NHS Trust ,61,5,8.2,4,0,0,65,5,7.7
Portsmouth Hospitals NHS Trust ,45,5,11.1,35,1,2.9,80,6,7.5
Warrington and Halton Hospitals NHS Foundation Trust/North Cheshire NHS Trust ,26,2,7.7,2,0,0,28,2,7.1
NHS Dumfries and Galloway ,14,1,7.1,0,0,0,14,1,7.1
Royal Bolton Hospital NHS Foundation Trust ,24,2,8.3,19,1,5.3,43,3,7
Cwm Taf University Health Board ,17,2,11.8,12,0,0,29,2,6.9
Milton Keynes Hospital NHS Foundation Trust ,14,1,7.1,1,0,0,15,1,6.7
Dorset County Hospital NHS Foundation Trust ,34,2,5.9,0,0,0,34,2,5.9
Salisbury NHS Foundation Trust ,17,1,5.9,0,0,0,17,1,5.9
Hull and East Yorkshire Hospitals NHS Trust ,95,7,7.4,41,1,2.4,136,8,5.9
University Hospitals Bristol NHS Foundation Trust ,40,4,10,30,0,0,70,4,5.7
North Bristol NHS Trust ,48,3,6.3,41,2,4.9,89,5,5.6
Aintree University Hospitals NHS Foundation Trust ,11,0,0,8,1,12.5,19,1,5.3
Gateshead Health NHS Foundation Trust ,9,0,0,30,2,6.7,39,2,5.1
Calderdale and Huddersfield NHS Foundation Trust ,29,2,6.9,12,0,0,41,2,4.9
Northern Devon Healthcare NHS Trust ,21,1,4.8,0,0,0,21,1,4.8
Royal United Hospital Bath NHS Trust ,31,4,12.9,93,2,2.2,124,6,4.8
Pennine Acute Hospitals NHS Trust ,20,1,5,46,2,4.3,66,3,4.5
Countess Of Chester Hospital NHS Foundation Trust ,10,0,0,13,1,7.7,23,1,4.3
Wirral University Teaching Hospital NHS Foundation Trust ,45,2,4.4,3,0,0,48,2,4.2
Sandwell and West Birmingham Hospitals NHS Trust ,15,1,6.7,9,0,0,24,1,4.2
County Durham and Darlington NHS Foundation Trust ,48,3,6.3,25,0,0,73,3,4.1
Lancashire Teaching Hospitals NHS Foundation Trust ,2,1,50,48,1,2.1,50,2,4
University Hospital Of South Manchester NHS Foundation Trust ,71,4,5.6,79,2,2.5,150,6,4
Doncaster and Bassetlaw Hospitals NHS Foundation Trust ,47,3,6.4,56,1,1.8,103,4,3.9
Derby Hospitals NHS Foundation Trust ,33,2,6.1,46,1,2.2,79,3,3.8
Royal Free Hampstead NHS Trust ,7,1,14.3,127,4,3.1,134,5,3.7
University Hospitals Of Morecambe Bay NHS Trust ,15,1,6.7,39,1,2.6,54,2,3.7
Mid Staffordshire NHS Foundation Trust ,22,1,4.5,5,0,0,27,1,3.7
Heart Of England NHS Foundation Trust ,38,4,10.5,101,1,1,139,5,3.6
City Hospitals Sunderland NHS Foundation Trust ,15,1,6.7,70,2,2.9,85,3,3.5
Barnet and Chase Farm Hospitals NHS Trust ,9,1,11.1,20,0,0,29,1,3.4
Royal Devon and Exeter NHS Foundation Trust ,24,2,8.3,34,0,0,58,2,3.4
Central Manchester University Hospitals NHS Foundation Trust ,26,3,11.5,127,2,1.6,153,5,3.3
East Sussex Hospitals NHS Trust ,23,1,4.3,38,1,2.6,61,2,3.3
Shrewsbury and Telford Hospital NHS Trust ,47,3,6.4,45,0,0,92,3,3.3
NHS Lothian ,44,2,4.5,16,0,0,60,2,3.3
Cardiff and Vale University Health Board ,13,0,0,18,1,5.6,31,1,3.2
Worcestershire Acute Hospitals NHS Trust ,121,5,4.1,38,0,0,159,5,3.1
Norfolk and Norwich University Hospitals NHS Foundation Trust ,90,4,4.4,81,1,1.2,171,5,2.9
Sheffield Teaching Hospitals NHS Foundation Trust ,91,3,3.3,13,0,0,104,3,2.9
University College London Hospitals NHS Foundation Trust ,8,1,12.5,63,1,1.6,71,2,2.8
"Blackpool, Fylde and Wyre Hospitals NHS Foundation Trust ",13,1,7.7,23,0,0,36,1,2.8
Northampton General Hospital NHS Trust ,14,1,7.1,23,0,0,37,1,2.7
The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust ,59,4,6.8,96,0,0,155,4,2.6
The Royal Wolverhampton Hospitals NHS Trust ,42,2,4.8,34,0,0,76,2,2.6
"Barking, Havering and Redbridge University Hospitals NHS Trust ",11,0,0,30,1,3.3,41,1,2.4
North West London Hospitals NHS Trust ,2,0,0,39,1,2.6,41,1,2.4
Basildon and Thurrock University NHS Trust ,27,1,3.7,18,0,0,45,1,2.2
Colchester Hospital University NHS Foundation Trust ,38,1,2.6,54,1,1.9,92,2,2.2
Heatherwood and Wexham Park Hospitals NHS Foundation Trust ,13,0,0,33,1,3,46,1,2.2
Southend University Hospital NHS Foundation Trust ,19,0,0,32,1,3.1,51,1,2
Bedford Hospital NHS Trust ,20,1,5,30,0,0,50,1,2
North Cumbria University Hospitals NHS Trust ,20,1,5,29,0,0,49,1,2
Royal Berkshire NHS Foundation Trust ,15,1,6.7,34,0,0,49,1,2
Leeds Teaching Hospitals NHS Trust ,18,1,5.6,33,0,0,51,1,2
The Newcastle Upon Tyne Hospitals NHS Foundation Trust ,56,4,7.1,153,0,0,209,4,1.9
Buckinghamshire Hospitals NHS Trust ,33,1,3,20,0,0,53,1,1.9
Nottingham University Hospitals NHS Trust ,20,2,10,94,0,0,114,2,1.8
Western Sussex Hospitals NHS Trust ,55,1,1.8,0,0,0,55,1,1.8
University Hospitals Coventry and Warwickshire NHS Trust ,32,1,3.1,23,0,0,55,1,1.8
Betsi Cadwaladr University Health Board ,73,2,2.7,39,0,0,112,2,1.8
The Princess Alexandra Hospital NHS Trust ,18,1,5.6,43,0,0,61,1,1.6
Belfast Health and Social Care Trust ,137,5,3.6,178,0,0,315,5,1.6
Southampton University Hospitals NHS Trust ,87,2,2.3,47,0,0,134,2,1.5
Abertawe Bro Morgannwg University Health Board ,44,1,2.3,21,0,0,65,1,1.5
Royal Liverpool and Broadgreen University Hospitals NHS Trust ,27,1,3.7,129,1,0.8,156,2,1.3
East Kent Hospitals University NHS Foundation Trust ,29,2,6.9,130,0,0,159,2,1.3
Royal Cornwall Hospitals NHS Trust ,18,1,5.6,58,0,0,76,1,1.3
York Hospitals NHS Foundation Trust ,36,1,2.8,43,0,0,79,1,1.3
South Tees Hospitals NHS Foundation Trust ,19,1,5.3,88,0,0,107,1,0.9
Oxford Radcliffe Hospitals NHS Trust ,52,0,0,59,1,1.7,111,1,0.9
Frimley Park Hospital NHS Foundation Trust ,50,1,2,63,0,0,113,1,0.9
Cambridge University Hospitals NHS Foundation Trust ,51,1,2,185,1,0.5,236,2,0.8
St George's Healthcare NHS Trust ,165,2,1.2,74,0,0,239,2,0.8
King's College Hospital NHS Foundation Trust ,8,0,0,117,1,0.9,125,1,0.8
Plymouth Hospitals NHS Trust ,51,1,2,185,1,0.5,236,2,0.8
University Hospitals Of Leicester NHS Trust ,49,1,2,126,0,0,175,1,0.6
Guy's and St Thomas' NHS Foundation Trust ,8,0,0,187,1,0.5,195,1,0.5
Ipswich Hospital NHS Trust ,28,0,0,28,0,0,56,0,0
Queen Elizabeth NHS Trust ,5,0,0,0,0,0,5,0,0
Mid Essex Hospital Services NHS Trust ,28,0,0,47,0,0,75,0,0
West Hertfordshire Hospitals NHS Trust ,14,0,0,51,0,0,65,0,0
Chesterfield NHS Trust Foundation ,10,0,0,0,0,0,10,0,0
Kettering General Hospital NHS Foundation Trust ,46,0,0,4,0,0,50,0,0
Imperial College Healthcare NHS Trust ,23,0,0,95,0,0,118,0,0
Ealing Hospital NHS Trust ,1,0,0,3,0,0,4,0,0
Whipps Cross University Hospital NHS Trust ,7,0,0,7,0,0,14,0,0
The Hillingdon Hospital NHS Trust ,12,0,0,0,0,0,12,0,0
Barts and the London NHS Trust ,4,0,0,11,0,0,15,0,0
Tameside Hospital NHS Foundation Trust ,24,0,0,15,0,0,39,0,0
East Lancashire Hospitals NHS Trust ,4,0,0,20,0,0,24,0,0
Mid Cheshire Hospitals NHS Foundation Trust ,0,0,0,0,0,0,0,0,0
Medway NHS Foundation Trust ,41,0,0,17,0,0,58,0,0
Ashford and St Peter's Hospitals NHS Trust ,9,0,0,23,0,0,32,0,0
Brighton and Sussex University Hospitals NHS Trust ,26,0,0,69,0,0,95,0,0
Gloucestershire Hospitals NHS Foundation Trust ,83,0,0,53,0,0,136,0,0
South Devon Healthcare NHS Foundation Trust ,16,0,0,59,0,0,75,0,0
Taunton and Somerset NHS Foundation Trust ,37,0,0,74,0,0,111,0,0
Walsall Hospitals NHS Trust ,1,0,0,23,0,0,24,0,0
The Dudley Group Of Hospitals NHS Foundation Trust ,13,0,0,45,0,0,58,0,0
University Hospital Of North Staffordshire NHS Trust ,9,0,0,34,0,0,43,0,0
Mid Yorkshire Hospitals NHS Trust ,18,0,0,24,0,0,42,0,0
Northern Lincolnshire and Goole Hospitals NHS Foundation Trust ,27,0,0,0,0,0,27,0,0
Bradford Teaching Hospitals NHS Foundation Trust ,31,0,0,20,0,0,51,0,0
Southern Health and Social Care Trust ,9,0,0,0,0,0,9,0,0
NHS Greater Glasgow & Clyde ,16,0,0,14,0,0,30,0,0
NHS Lanarkshire ,0,0,0,8,0,0,8,0,0
NHS Ayrshire & Arran ,1,0,0,0,0,0,1,0,0
NHS Grampian ,17,0,0,64,0,0,81,0,0
NHS Highland ,14,0,0,5,0,0,19,0,0
NHS Forth Valley ,20,0,0,0,0,0,20,0,0
NHS Tayside + NHS Fife ,28,0,0,32,0,0,60,0,0
Hywel Dda Health Board ,0,0,0,3,0,0,3,0,0
Aneurin Bevan Health Board ,13,0,0,30,0,0,43,0,0
Basingstoke and North Hampshire NHS Foundation Trust ,,,,,,,,,
Surrey and Sussex Healthcare NHS Trust ,,,,,,,,,
Great Western NHS Foundation Trusts ,,,,,,,,,
University Hospital Birmingham NHS Foundation Trust ,,,,,,,,,
